Network,OR versus FR,OR versus AFR,OR versus LR,FR versus LR,AFR versus LR,edges:GAP:nodes,OR versus FR,OR versus AFR,OR versus RES,FR versus RES,AFR versus RES,nodes:GAP:others,EBC versus LR,DIS versus LR,DEG versus RES,BC versus RES,CC versus RES,spearman:GAP:pearson,OR versus FR,OR versus AFR,OR versus LR,FR versus LR,AFR versus LR,edges:GAP:nodes,OR versus FR,OR versus AFR,OR versus RES,FR versus RES,AFR versus RES,nodes:GAP:others,EBC versus LR,DIS versus LR,DEG versus RES,BC versus RES,CC versus RES
Model networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER n=1000 p=0.003,0.89,0.9,0.81,0.91,0.91,edges:GAP:nodes,0.97,0.97,0.8,0.82,0.82,nodes:GAP:others,-0.75,nan,-0.94,-0.89,-0.08,spearman:GAP:pearson,0.79,0.79,0.62,0.9,0.9,edges:GAP:nodes,0.94,0.94,0.78,0.78,0.78,nodes:GAP:others,-0.76,nan,-0.94,-0.77,-0.01
ER n=1000 p=0.007,0.39,0.44,0.42,0.92,0.91,edges:GAP:nodes,0.97,0.97,0.92,0.88,0.88,nodes:GAP:others,-0.83,-0.02,-0.94,-0.93,-0.19,spearman:GAP:pearson,0.42,0.47,0.36,0.9,0.89,edges:GAP:nodes,0.96,0.96,0.92,0.87,0.87,nodes:GAP:others,-0.83,-0.02,-0.93,-0.9,0.02
ER n=1000 p=0.01,-0.04,0.03,0.05,0.94,0.92,edges:GAP:nodes,0.96,0.96,0.96,0.91,0.91,nodes:GAP:others,-0.81,-0.05,-0.95,-0.95,-0.2,spearman:GAP:pearson,-0.02,0.06,0.04,0.92,0.9,edges:GAP:nodes,0.95,0.95,0.96,0.9,0.91,nodes:GAP:others,-0.8,-0.05,-0.95,-0.94,0.02
WS n=1000 k=2 p=0.5,0.92,0.92,0.89,0.96,0.96,edges:GAP:nodes,0.89,0.89,0.63,0.69,0.69,nodes:GAP:others,-0.49,nan,-0.93,-0.76,nan,spearman:GAP:pearson,0.85,0.85,0.85,1,1,edges:GAP:nodes,0.86,0.86,0.76,0.82,0.82,nodes:GAP:others,-0.26,nan,-1,-0.37,nan
WS n=1000 k=8 p=0.5,0.18,0.7,0.22,0.95,0.65,edges:GAP:nodes,0.79,0.93,0.8,0.89,0.86,nodes:GAP:others,-0.54,-0.05,-0.96,-0.88,0.12,spearman:GAP:pearson,0.18,0.76,0.21,0.94,0.63,edges:GAP:nodes,0.82,0.93,0.82,0.91,0.87,nodes:GAP:others,-0.57,-0.06,-0.96,-0.88,0.21
WS n=1000 k=10 p=0.5,0.1,0.69,0.14,0.95,0.61,edges:GAP:nodes,0.77,0.92,0.79,0.91,0.87,nodes:GAP:others,-0.47,-0.05,-0.96,-0.89,0.15,spearman:GAP:pearson,0.11,0.74,0.14,0.95,0.59,edges:GAP:nodes,0.8,0.92,0.81,0.93,0.88,nodes:GAP:others,-0.5,-0.06,-0.97,-0.89,0.21
BA n=1000 m=2,0.74,0.74,0.78,0.99,0.99,edges:GAP:nodes,0.6,0.6,0.76,0.32,0.32,nodes:GAP:others,-0.77,-0.17,-0.92,-0.7,-0.21,spearman:GAP:pearson,0.51,0.51,0.35,0.69,0.67,edges:GAP:nodes,0.89,0.89,0.98,0.86,0.86,nodes:GAP:others,-0.91,-0.65,-0.99,-0.92,0.05
BA n=1000 m=4,0.33,0.35,0.38,0.98,0.98,edges:GAP:nodes,0.6,0.6,0.93,0.56,0.56,nodes:GAP:others,-0.83,-0.35,-0.94,-0.83,-0.12,spearman:GAP:pearson,0.17,0.2,-0.04,0.75,0.71,edges:GAP:nodes,0.89,0.89,0.99,0.88,0.89,nodes:GAP:others,-0.83,-0.79,-0.99,-0.92,0.1
BA n=1000 m=5,0.13,0.16,0.17,0.98,0.98,edges:GAP:nodes,0.63,0.64,0.95,0.61,0.61,nodes:GAP:others,-0.84,-0.41,-0.94,-0.86,0.02,spearman:GAP:pearson,-0.02,0.02,-0.2,0.77,0.72,edges:GAP:nodes,0.9,0.9,0.99,0.9,0.9,nodes:GAP:others,-0.78,-0.81,-0.99,-0.92,0.12
Weighted model networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ER n=1000 p=0.003,0.79,0.8,0.79,0.84,0.84,edges:GAP:nodes,0.95,0.95,0.84,0.8,0.8,nodes:GAP:others,-0.68,nan,-0.88,-0.93,-0.08,spearman:GAP:pearson,0.7,0.7,0.6,0.84,0.84,edges:GAP:nodes,0.91,0.92,0.81,0.73,0.73,nodes:GAP:others,-0.67,nan,-0.88,-0.87,-0.01
ER n=1000 p=0.007,0.08,0.12,0.34,0.86,0.85,edges:GAP:nodes,0.9,0.9,0.96,0.88,0.88,nodes:GAP:others,-0.28,-0.03,-0.91,-0.92,-0.2,spearman:GAP:pearson,0.12,0.16,0.3,0.84,0.83,edges:GAP:nodes,0.88,0.88,0.95,0.85,0.85,nodes:GAP:others,-0.3,-0.03,-0.91,-0.9,0.02
ER n=1000 p=0.01,-0.26,-0.2,0.02,0.89,0.87,edges:GAP:nodes,0.85,0.85,0.96,0.91,0.91,nodes:GAP:others,-0.1,-0.05,-0.94,-0.78,-0.21,spearman:GAP:pearson,-0.25,-0.19,0.01,0.87,0.85,edges:GAP:nodes,0.84,0.84,0.96,0.9,0.9,nodes:GAP:others,-0.11,-0.06,-0.94,-0.76,0.01
WS n=1000 k=2 p=0.5,0.9,0.9,0.82,0.91,0.91,edges:GAP:nodes,0.93,0.94,0.7,0.67,0.67,nodes:GAP:others,-0.5,nan,-0.86,-0.75,nan,spearman:GAP:pearson,0.85,0.85,0.76,0.94,0.94,edges:GAP:nodes,0.89,0.9,0.78,0.76,0.76,nodes:GAP:others,-0.26,nan,-0.95,-0.37,nan
WS n=1000 k=8 p=0.5,0.1,0.62,0.22,0.87,0.63,edges:GAP:nodes,0.74,0.87,0.83,0.89,0.86,nodes:GAP:others,-0.24,-0.05,-0.92,-0.76,0.12,spearman:GAP:pearson,0.11,0.68,0.22,0.87,0.62,edges:GAP:nodes,0.76,0.88,0.85,0.9,0.87,nodes:GAP:others,-0.24,-0.06,-0.94,-0.76,0.2
WS n=1000 k=10 p=0.5,0.04,0.63,0.15,0.89,0.6,edges:GAP:nodes,0.71,0.85,0.81,0.91,0.87,nodes:GAP:others,-0.16,-0.05,-0.94,-0.63,0.15,spearman:GAP:pearson,0.05,0.67,0.15,0.88,0.59,edges:GAP:nodes,0.73,0.86,0.83,0.92,0.89,nodes:GAP:others,-0.15,-0.05,-0.95,-0.62,0.21
BA n=1000 m=2,-0.01,0,0.24,0.93,0.93,edges:GAP:nodes,0,0,0.68,0.45,0.45,nodes:GAP:others,-0.32,-0.16,-0.61,-0.67,-0.24,spearman:GAP:pearson,-0.01,0,0.25,0.61,0.6,edges:GAP:nodes,0.75,0.76,0.94,0.87,0.87,nodes:GAP:others,-0.62,-0.68,-0.94,-0.95,0.05
BA n=1000 m=4,-0.19,-0.18,0.11,0.93,0.93,edges:GAP:nodes,0.03,0.04,0.62,0.65,0.65,nodes:GAP:others,-0.45,-0.35,-0.8,-0.61,-0.25,spearman:GAP:pearson,-0.16,-0.15,0.07,0.67,0.63,edges:GAP:nodes,0.73,0.74,0.91,0.9,0.9,nodes:GAP:others,-0.54,-0.81,-0.97,-0.92,0.07
BA n=1000 m=5,-0.23,-0.21,0.06,0.93,0.93,edges:GAP:nodes,0.09,0.09,0.63,0.7,0.71,nodes:GAP:others,-0.46,-0.41,-0.84,-0.63,-0.15,spearman:GAP:pearson,-0.2,-0.19,0,0.71,0.67,edges:GAP:nodes,0.73,0.73,0.89,0.91,0.91,nodes:GAP:others,-0.48,-0.81,-0.98,-0.91,0.08
Real networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sister cities,0.67,0.76,0.71,0.89,0.86,edges:GAP:nodes,0.91,0.95,0.54,0.57,0.52,nodes:GAP:others,-0.56,-0.28,-0.89,-0.87,-0.37,spearman:GAP:pearson,0.34,0.47,0.21,0.76,0.7,edges:GAP:nodes,0.59,0.72,0.66,0.43,0.45,nodes:GAP:others,-0.26,-0.5,-0.73,-0.64,-0.01
US Power Grid,0.59,0.76,0.66,0.9,0.84,edges:GAP:nodes,0.67,0.82,0.66,0.63,0.61,nodes:GAP:others,-0.37,-0.16,-0.93,-0.83,-0.23,spearman:GAP:pearson,0.52,0.69,0.54,0.9,0.81,edges:GAP:nodes,0.66,0.81,0.74,0.7,0.77,nodes:GAP:others,-0.12,-0.28,-0.91,-0.23,0.06
Euro Road,0.8,0.87,0.8,0.9,0.87,edges:GAP:nodes,0.89,0.91,0.62,0.55,0.55,nodes:GAP:others,-0.44,-0.07,-0.88,-0.67,-0.24,spearman:GAP:pearson,0.72,0.77,0.67,0.92,0.88,edges:GAP:nodes,0.86,0.88,0.76,0.71,0.72,nodes:GAP:others,-0.26,-0.11,-0.91,-0.4,-0.04
Dolphin,0.07,0.71,0.15,0.86,0.27,edges:GAP:nodes,0.04,0.49,0.14,0.86,0.66,nodes:GAP:others,-0.05,-0.11,-0.93,-0.85,-0.33,spearman:GAP:pearson,0.1,0.73,0.08,0.79,0.09,edges:GAP:nodes,0.02,0.51,0.13,0.81,0.67,nodes:GAP:others,-0.01,-0.22,-0.88,-0.63,-0.24
Contiguous USA States,0.69,0.91,0.7,0.85,0.63,edges:GAP:nodes,0.61,0.89,0.5,0.81,0.63,nodes:GAP:others,-0.58,-0.6,-0.9,-0.86,0.72,spearman:GAP:pearson,0.69,0.89,0.69,0.86,0.69,edges:GAP:nodes,0.74,0.92,0.58,0.78,0.65,nodes:GAP:others,-0.56,-0.56,-0.9,-0.75,0.65
Zachary karate club,0.75,0.81,0.75,0.98,0.63,edges:GAP:nodes,0.24,0.7,-0.18,0.66,0.31,nodes:GAP:others,-0.63,-0.4,-0.95,-0.89,0.56,spearman:GAP:pearson,0.71,0.81,0.44,0.87,0.28,edges:GAP:nodes,0.53,0.7,0.44,0.97,0.92,nodes:GAP:others,-0.38,-0.76,-0.98,-0.94,0.5
Jazz Musicians,0.11,0.9,0.2,0.87,0.3,edges:GAP:nodes,-0.79,0.02,-0.58,0.84,0.44,nodes:GAP:others,-0.39,-0.23,-0.87,-0.92,0.54,spearman:GAP:pearson,0.13,0.86,0.2,0.83,0.32,edges:GAP:nodes,-0.57,0.03,-0.39,0.83,0.69,nodes:GAP:others,-0.26,-0.26,-0.86,-0.81,0.42
Zebra,-0.02,0.62,0.67,0.51,0.26,edges:GAP:nodes,-0.72,0.99,-0.37,0.67,-0.36,nodes:GAP:others,-0.7,-0.19,-0.79,-0.96,0.96,spearman:GAP:pearson,-0.1,0.79,0.51,0.27,0.27,edges:GAP:nodes,-0.89,0.99,-0.14,0.49,-0.18,nodes:GAP:others,-0.42,-0.13,-0.57,-0.86,0.89
Weighted real networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les miserables,-0.29,0.77,0.06,0.73,0.05,edges:GAP:nodes,-0.72,0.82,-0.69,0.86,-0.8,nodes:GAP:others,-0.04,-0.38,-0.91,-0.64,-0.4,spearman:GAP:pearson,-0.44,0.45,-0.17,0.86,-0.62,edges:GAP:nodes,-0.58,0.67,-0.37,0.86,-0.69,nodes:GAP:others,-0.11,-0.57,-0.77,-0.88,0.05
Windsurfers,-0.82,0.92,-0.41,0.64,-0.49,edges:GAP:nodes,-0.93,0.95,-0.94,0.92,-0.87,nodes:GAP:others,0.41,-0.27,-0.91,-0.46,0.01,spearman:GAP:pearson,-0.81,0.36,-0.45,0.79,-0.83,edges:GAP:nodes,-0.95,0.84,-0.95,0.94,-0.89,nodes:GAP:others,0.25,-0.26,-0.96,-0.16,-0.1